Model,Transcript_nr,Timeframe_LP,Timeframe_EVAL,Split,Amount,Metric,Value,POS,Matchtype
Lexical profile,1016,5,5 - 15,10,0,Recall,0,NOUN,Exact
Lexical profile,1016,5,5 - 15,10,0,Coverage,0.0,NOUN,Exact
Lexical profile,1016,5,5 - 15,10,0,Cosine,0.0,NOUN,Exact
Lexical profile,1016,5,5 - 15,10,0,Recall,0,NOUN,Lemma
Lexical profile,1016,5,5 - 15,10,0,Coverage,0.0,NOUN,Lemma
Lexical profile,1016,5,5 - 15,10,0,Cosine,0.0,NOUN,Lemma
Lexical profile,1016,5,5 - 15,10,0,Recall,1.0,PRON,Exact
Lexical profile,1016,5,5 - 15,10,0,Coverage,0.16,PRON,Exact
Lexical profile,1016,5,5 - 15,10,0,Cosine,0.7624760919208126,PRON,Exact
Lexical profile,1016,5,5 - 15,10,0,Recall,1.0,PRON,Lemma
Lexical profile,1016,5,5 - 15,10,0,Coverage,0.16666666666666666,PRON,Lemma
Lexical profile,1016,5,5 - 15,10,0,Cosine,0.7618066071206158,PRON,Lemma
Lexical profile,1016,5,5 - 15,10,0,Recall,0,ADJ,Exact
Lexical profile,1016,5,5 - 15,10,0,Coverage,0.0,ADJ,Exact
Lexical profile,1016,5,5 - 15,10,0,Cosine,0.0,ADJ,Exact
Lexical profile,1016,5,5 - 15,10,0,Recall,0,ADJ,Lemma
Lexical profile,1016,5,5 - 15,10,0,Coverage,0.0,ADJ,Lemma
Lexical profile,1016,5,5 - 15,10,0,Cosine,0.0,ADJ,Lemma
Lexical profile,1016,5,5 - 15,10,0,Recall,1.0,CONJ,Exact
Lexical profile,1016,5,5 - 15,10,0,Coverage,0.18181818181818182,CONJ,Exact
Lexical profile,1016,5,5 - 15,10,0,Cosine,0.7906838162314704,CONJ,Exact
Lexical profile,1016,5,5 - 15,10,0,Recall,1.0,CONJ,Lemma
Lexical profile,1016,5,5 - 15,10,0,Coverage,0.18181818181818182,CONJ,Lemma
Lexical profile,1016,5,5 - 15,10,0,Cosine,0.7906838162314704,CONJ,Lemma
Lexical profile,1016,5,5 - 15,10,0,Recall,1.0,VERB,Exact
Lexical profile,1016,5,5 - 15,10,0,Coverage,0.029850746268656716,VERB,Exact
Lexical profile,1016,5,5 - 15,10,0,Cosine,0.7566773907027964,VERB,Exact
Lexical profile,1016,5,5 - 15,10,0,Recall,1.0,VERB,Lemma
Lexical profile,1016,5,5 - 15,10,0,Coverage,0.046511627906976744,VERB,Lemma
Lexical profile,1016,5,5 - 15,10,0,Cosine,0.8628627188050716,VERB,Lemma
Lexical profile,1016,5,5 - 15,10,0,Recall,1.0,ADV,Exact
Lexical profile,1016,5,5 - 15,10,0,Coverage,0.13043478260869565,ADV,Exact
Lexical profile,1016,5,5 - 15,10,0,Cosine,0.4784170082547923,ADV,Exact
Lexical profile,1016,5,5 - 15,10,0,Recall,1.0,ADV,Lemma
Lexical profile,1016,5,5 - 15,10,0,Coverage,0.13043478260869565,ADV,Lemma
Lexical profile,1016,5,5 - 15,10,0,Cosine,0.4784170082547923,ADV,Lemma
Lexical profile,1016,5,5 - 15,10,0,Recall,0.6666666666666666,ngram,Exact
Lexical profile,1016,5,5 - 15,10,0,Coverage,0.0005957700327673518,ngram,Exact
Lexical profile,1016,5,5 - 15,10,0,Cosine,,ngram,Exact
Lexical profile,1016,5,5 - 15,10,0,Recall,0.6666666666666666,ngram,Lemma
Lexical profile,1016,5,5 - 15,10,0,Coverage,0.0006082725060827251,ngram,Lemma
Lexical profile,1016,5,5 - 15,10,0,Cosine,,ngram,Lemma
Lexical profile,1016,5,15 - 25,10,0,Recall,0,NOUN,Exact
Lexical profile,1016,5,15 - 25,10,0,Coverage,0.0,NOUN,Exact
Lexical profile,1016,5,15 - 25,10,0,Cosine,0.0,NOUN,Exact
Lexical profile,1016,5,15 - 25,10,0,Recall,0,NOUN,Lemma
Lexical profile,1016,5,15 - 25,10,0,Coverage,0.0,NOUN,Lemma
Lexical profile,1016,5,15 - 25,10,0,Cosine,0.0,NOUN,Lemma
Lexical profile,1016,5,15 - 25,10,0,Recall,1.0,PRON,Exact
Lexical profile,1016,5,15 - 25,10,0,Coverage,0.2,PRON,Exact
